CAS;Tipo_olor;Descriptor_1;Descriptor_2;Fuerza_Olor;Clacificacion;Presion_vapor;Area;Fuerza;smiles;nomenclature;Molecule
101-86-0;ND;0;0;0;aromatizante;0.001;1.5651;0.1;CCCCCC\C(C=O)=C/c1ccccc1;['2-(phenylmethylidene)octanal', '(2E)-2-(phenylmethylidene)octanal'];"<img data-content=""rdkit/molecule"" src=""data:image/png"
1000432-46-3;ND;0;0;0;0;0;0.024;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
101-86-0;ND;0;0;0;aromatizante;0.001;1.5651;0.1;CCCCCC\C(C=O)=C/c1ccccc1;['2-(phenylmethylidene)octanal', '(2E)-2-(phenylmethylidene)octanal'];"<img data-content=""rdkit/molecule"" src=""data:image/png"
100679-85-4;ND;0;0;0;0;0;0.5633;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
1000352-67-3;ND;0;0;0;0;0;0.0605;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
16832-35-2;ND;0;0;0;0;0;0.3021;0.1;C1CCC2C(C1)C3CCCC4CCCC2C34;1,2,3,3a,4,5,6,6a,6b,7,8,9,10,10a,10b,10c-hexadecahydrofluoranthene;"<img data-content=""rdkit/molecule"" src=""data:image/png"
1000161-90-4;ND;0;0;0;0;0;0.3032;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
1000161-90-4;ND;0;0;0;0;0;0.3032;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
118-60-5;floral;dulce;orquidea;bajo;aromatizante;8.00E-05;0.5157;0.15;CCCCC(CC)COC(=O)c1ccccc1O;2-Ethylhexyl 2-hydroxybenzoate;"<img data-content=""rdkit/molecule"" src=""data:image/png"
110-27-0;ND;graso;aceitoso;ninguna;disolvente;0.000329;0.0262;0.1;CCCCCCCCCCCCCC(=O)OC(C)C;propan-2-yl tetradecanoate;"<img data-content=""rdkit/molecule"" src=""data:image/png"
1000432-48-9;ND;0;0;0;0;0;0.2036;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
1000432-48-9;ND;0;0;0;0;0;0.2036;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
1000432-48-9;ND;0;0;0;0;0;0.2036;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
77143-32-9;ND;0;0;0;0;0;0.3569;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
77143-32-9;ND;0;0;0;0;0;0.3569;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
1000432-48-9;ND;0;0;0;0;0;0.2036;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
1000362-94-7;ND;0;0;0;0;0;0.0694;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
